"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGLBJAKE_00415",11818.1196190416,-2.02258652164693,0.0530173403121757,-38.1495282437326,1.93637172311976e-318,3.50008306935391e-317
"FGLBJAKE_02352",4288.42059685297,-2.32725968957936,0.0610523690523988,-38.1190726207851,6.1905140853229e-318,1.11197106910801e-316
"FGLBJAKE_00990",934.912958196285,4.35373424095571,0.114253704828313,38.1058473989793,1.02513582042471e-317,1.82996292752548e-316
"FGLBJAKE_01807",26036.7984195854,-2.7784052617125,0.0729894814650229,-38.0658309381734,4.71116197778791e-317,8.35795033087657e-316
"FGLBJAKE_01964",12460.7959575437,-2.27517443949326,0.0597702677804956,-38.0653211701974,4.80353743159085e-317,8.46955002717888e-316
"FGLBJAKE_00984",2632.59216611959,3.47329201013314,0.0913863132627685,38.006698006803,4.47317233482251e-316,7.83896176091975e-315
"FGLBJAKE_01963",7018.32395646975,-2.10266009627491,0.0557059044495349,-37.7457312120252,8.83810292576119e-312,1.53943683688711e-310
"FGLBJAKE_02166",5657.28256890638,3.16407405852457,0.0840204345326952,37.658387225947,2.38515388647367e-310,4.12947727091887e-309
"FGLBJAKE_02032",2399.8085789795,-2.70569465478181,0.0719822255616625,-37.5883717635824,3.32927712077124e-309,5.72954637430931e-308
"FGLBJAKE_02336",909.370639865461,4.73272744953329,0.126116117891093,37.526745420599,3.37482552493004e-308,5.77336223729103e-307
"FGLBJAKE_02125",1025.78521433202,3.65007485867837,0.0979774369295835,37.2542390683447,9.04694984365588e-304,1.53851679589745e-302
"FGLBJAKE_01171",33730.8033736648,-2.17187649354978,0.0583697572049283,-37.2089348585881,4.89299833547634e-303,8.27204542126999e-302
"FGLBJAKE_00334",996.184286733021,4.90114505658636,0.13182412129668,37.1794251945436,1.46755857675114e-302,2.46652827460981e-301
"FGLBJAKE_00716",3615.61291431516,9.36630894224874,0.251935377548541,37.1774263439604,1.58085840241566e-302,2.6415040979899e-301
"FGLBJAKE_01746",6448.7364233691,-2.04845559070687,0.0551000984186792,-37.176986058022,1.60696678745841e-302,2.66960840876039e-301
"FGLBJAKE_00772",1067.84006758124,3.46302760020644,0.0932338415938452,37.1434614406691,5.59029223076565e-302,9.23362061564395e-301
"FGLBJAKE_01802",19628.0983973579,-2.72641423361766,0.0734357448925382,-37.1265279273376,1.04888504451668e-301,1.72256892453768e-300
"FGLBJAKE_01252",3312.99999977874,2.32958774787828,0.0627904314549619,37.1009992111496,2.70710914598219e-301,4.42058618497319e-300
"FGLBJAKE_01274",4042.09638107434,3.34764571710924,0.0902498832510303,37.0930753206379,3.63295904833364e-301,5.89894028526039e-300
"FGLBJAKE_01784",34852.3392258798,-2.02624199324713,0.054697264253303,-37.0446679721239,2.18840323002496e-300,3.5334106084785e-299
"FGLBJAKE_00918",2274.9637375653,-2.71219955000726,0.0734276234257867,-36.9370466245375,1.17575800822553e-298,1.88778129365374e-297
"FGLBJAKE_01918",17337.611528893,-1.91518910544205,0.0518705993950493,-36.9224402219813,2.01721670501617e-298,3.22082267234249e-297
"FGLBJAKE_01791",32145.30074193,-2.21496784719429,0.0601707808410462,-36.8113528897954,1.2153139949141e-296,1.92973061954868e-295
"FGLBJAKE_00589",6837.2656347499,2.38321823117104,0.0648564977004992,36.7460210721908,1.34582819998989e-295,2.12522541031371e-294
"FGLBJAKE_01156",2413.39506754654,2.57370401782661,0.0703298428357447,36.5947642430752,3.46462837658359e-293,5.44117046683128e-292
