"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions"
"FGLBJAKE_00184",0,0,0,0,0,0,FALSE
"FGLBJAKE_00185",72.6666666666667,20,51.6666666666667,725.501028347788,243.394871670054,510.597365976427,TRUE
"FGLBJAKE_00186",0,0,0,0,0,0,FALSE
"FGLBJAKE_00187",0,0,0,0,0,0,FALSE
"FGLBJAKE_00188",39.3333333333333,16,1,392.702391491004,194.715897336043,9.88252966405988,TRUE
"FGLBJAKE_00189",0,0,0,0,0,0,FALSE
"FGLBJAKE_00190",0,0,0,0,0,0,FALSE
"FGLBJAKE_00191",62,4.66666666666667,15.3333333333333,619.005464553617,56.7921367230126,151.532121515585,TRUE
"FGLBJAKE_00192",0,0,0,0,0,0,FALSE
"FGLBJAKE_00193",0,0,0,0,0,0,FALSE
"FGLBJAKE_00194",0,0,0,0,0,0,FALSE
"FGLBJAKE_00195",257.666666666667,87,123.333333333333,2572.53346290294,1058.76769176473,1218.84532523405,TRUE
"FGLBJAKE_00196",53,30.6666666666667,68.3333333333333,529.149832602286,373.205469894083,675.306193710758,TRUE
"FGLBJAKE_00197",0,0,0,0,0,0,FALSE
"FGLBJAKE_00198",0,0,0,0,0,0,FALSE
"FGLBJAKE_00199",0,0,0,0,0,0,FALSE
"FGLBJAKE_00200",290.666666666667,302,255.333333333333,2902.00411339115,3675.26256221781,2523.33924088995,TRUE
"FGLBJAKE_00201",156,7,41.3333333333333,1557.49762048975,85.1882050845189,408.477892781142,TRUE
"FGLBJAKE_00202",246.666666666667,332.333333333333,208,2462.7099127402,4044.4114509174,2055.56617012445,TRUE
"FGLBJAKE_00203",0,0,0,0,0,0,FALSE
"FGLBJAKE_00204",0.333333333333333,0,0,3.32798636856783,0,0,TRUE
"FGLBJAKE_00205",0,21.6666666666667,27,0,263.677777642558,266.828300929617,TRUE
"FGLBJAKE_00206",143.666666666667,51.6666666666667,161.333333333333,1434.36212485274,628.770085147639,1594.38145246833,TRUE
"FGLBJAKE_00207",0,4.33333333333333,0,0,52.7355555285117,0,TRUE
"FGLBJAKE_00208",281.333333333333,174,317.666666666667,2808.82049507125,2117.53538352947,3139.35025661635,TRUE
"FGLBJAKE_00209",0,0,0,0,0,0,FALSE
"FGLBJAKE_00210",0,0,7.66666666666667,0,0,75.7660607577924,TRUE
"FGLBJAKE_00211",0,0,0,0,0,0,FALSE
"FGLBJAKE_00212",0,0,0,0,0,0,FALSE
"FGLBJAKE_00213",0,0,0,0,0,0,FALSE
"FGLBJAKE_00214",0,0,0,0,0,0,FALSE
"FGLBJAKE_00215",0.333333333333333,0.333333333333333,0,3.32798636856783,4.0565811945009,0,TRUE
"FGLBJAKE_00216",0,6.66666666666667,0.333333333333333,0,81.131623890018,3.29417655468662,TRUE
"FGLBJAKE_00217",0,0,0,0,0,0,FALSE
"FGLBJAKE_00218",0,0,0,0,0,0,FALSE
"FGLBJAKE_00219",0,0,0,0,0,0,FALSE
"FGLBJAKE_00220",16.3333333333333,5.33333333333333,34,163.071332059824,64.9052991120144,336.006008578036,TRUE
"FGLBJAKE_00221",179,116.666666666667,161.333333333333,1787.12867992093,1419.80341807531,1594.38145246833,TRUE
"FGLBJAKE_00222",0,0,0,0,0,0,FALSE
"FGLBJAKE_00223",58.3333333333333,0,1.33333333333333,582.397614499371,0,13.1767062187465,TRUE
"FGLBJAKE_00224",0,0,0,0,0,0,FALSE
"FGLBJAKE_00225",0,0,0,0,0,0,FALSE
"FGLBJAKE_00226",0,0,0,0,0,0,FALSE
"FGLBJAKE_00227",0,0,0,0,0,0,FALSE
"FGLBJAKE_00228",10.3333333333333,6,4,103.167577425603,73.0184615010162,39.5301186562395,TRUE
"FGLBJAKE_00229",25.3333333333333,12.3333333333333,7,252.926964011155,150.093504196533,69.1777076484191,TRUE
"FGLBJAKE_00230",0,0,0,0,0,0,FALSE
"FGLBJAKE_00231",0,0,0,0,0,0,FALSE
"FGLBJAKE_00232",0,0,0,0,0,0,FALSE
