"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions","serum_depleted","bhi_depleted","log2FC_serum","category","gene.y","product","COG"
"FGLBJAKE_02139",12,0,0,119.807509268442,0,0,TRUE,TRUE,FALSE,-6.91656632363998,"Depleted in Serum","npr_2","NADH peroxidase","COG0446"
"FGLBJAKE_00952",11.6666666666667,0,0,116.479522899874,0,0,TRUE,TRUE,FALSE,-6.87626550158364,"Depleted in Serum","uxuA_1","Mannonate dehydratase","COG1312"
"FGLBJAKE_01533",11.6666666666667,0,2.33333333333333,116.479522899874,0,23.0592358828064,TRUE,TRUE,FALSE,-6.87626550158364,"Depleted in Serum","rhaS_2","HTH-type transcriptional activator RhaS",""
"FGLBJAKE_00704",11.3333333333333,0,0,113.151536531306,0,0,TRUE,TRUE,FALSE,-6.83480646879574,"Depleted in Serum","yesO","Putative ABC transporter substrate-binding protein YesO","COG1653"
"FGLBJAKE_02212",11.3333333333333,0,0,113.151536531306,0,0,TRUE,TRUE,FALSE,-6.83480646879574,"Depleted in Serum","topB_3","DNA topoisomerase 3","COG0550"
"FGLBJAKE_00877",11,0,7.66666666666667,109.823550162739,0,75.7660607577924,TRUE,TRUE,FALSE,-6.79212067849754,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02768",11,0,9,109.823550162739,0,88.9427669765389,TRUE,TRUE,FALSE,-6.79212067849754,"Depleted in Serum","ntpA","V-type sodium ATPase catalytic subunit A",""
"FGLBJAKE_00644",10.3333333333333,0,0,103.167577425603,0,0,TRUE,TRUE,FALSE,-6.7027624926682,"Depleted in Serum","rnhB","Ribonuclease HII","COG0164"
"FGLBJAKE_00732",9.66666666666667,0,0,96.5116046884672,0,0,TRUE,TRUE,FALSE,-6.6075020166239,"Depleted in Serum","norG","HTH-type transcriptional regulator NorG","COG1167"
"FGLBJAKE_02129",9.66666666666667,0,0.666666666666667,96.5116046884672,0,6.58835310937325,TRUE,TRUE,FALSE,-6.6075020166239,"Depleted in Serum","efp","Elongation factor P",""
"FGLBJAKE_02713",9.66666666666667,0,6.66666666666667,96.5116046884672,0,65.8835310937325,TRUE,TRUE,FALSE,-6.6075020166239,"Depleted in Serum","yrrK","Putative pre-16S rRNA nuclease","COG0816"
"FGLBJAKE_00530",9.33333333333333,0,0,93.1836183198994,0,0,TRUE,TRUE,FALSE,-6.55740424364395,"Depleted in Serum","ptsG_2","PTS system glucose-specific EIICBA component",""
"FGLBJAKE_01668",9.33333333333333,0,0,93.1836183198994,0,0,TRUE,TRUE,FALSE,-6.55740424364395,"Depleted in Serum","xerC_9","Tyrosine recombinase XerC",""
"FGLBJAKE_00734",8.66666666666667,0,0,86.5276455827637,0,0,TRUE,TRUE,FALSE,-6.45166685864141,"Depleted in Serum","pdhB","Pyruvate dehydrogenase E1 component subunit beta",""
"FGLBJAKE_00863",8.66666666666667,0,0,86.5276455827637,0,0,TRUE,TRUE,FALSE,-6.45166685864141,"Depleted in Serum","carA","Carbamoyl-phosphate synthase small chain",""
"FGLBJAKE_02221",8.66666666666667,0,0,86.5276455827637,0,0,TRUE,TRUE,FALSE,-6.45166685864141,"Depleted in Serum","metN2","Methionine import ATP-binding protein MetN 2","COG1135"
"FGLBJAKE_00846",8.33333333333333,0,5,83.1996592141959,0,49.4126483202994,TRUE,TRUE,FALSE,-6.39574248909371,"Depleted in Serum","cshB","DEAD-box ATP-dependent RNA helicase CshB","COG0513"
"FGLBJAKE_00631",8,0,0,79.871672845628,0,0,TRUE,TRUE,FALSE,-6.33756254906699,"Depleted in Serum","ettA","Energy-dependent translational throttle protein EttA","COG0488"
"FGLBJAKE_02925",8,0,0,79.871672845628,0,0,TRUE,TRUE,FALSE,-6.33756254906699,"Depleted in Serum","asnS","Asparagine--tRNA ligase",""
"FGLBJAKE_02639",7.66666666666667,0,0,76.5436864770602,0,0,TRUE,TRUE,FALSE,-6.27693741826314,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02286",7,0,44.6666666666667,69.8877137399245,0,441.419658328008,TRUE,TRUE,FALSE,-6.14746369608318,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00245",6.66666666666667,0,3.66666666666667,66.5597273713567,0,36.2359421015529,TRUE,TRUE,FALSE,-6.078091601227,"Depleted in Serum","oatA","O-acetyltransferase OatA",""
"FGLBJAKE_01164",6.66666666666667,0,0,66.5597273713567,0,0,TRUE,TRUE,FALSE,-6.078091601227,"Depleted in Serum","polC_1","DNA polymerase III PolC-type","COG2176"
"FGLBJAKE_00923",6.33333333333333,0,0,63.2317410027889,0,0,TRUE,TRUE,FALSE,-6.00521449614354,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02924",6.33333333333333,0,4.33333333333333,63.2317410027889,0,42.8242952109261,TRUE,TRUE,FALSE,-6.00521449614354,"Depleted in Serum","aspB","Asparagine--oxo-acid transaminase","COG0436"
"FGLBJAKE_00295",6,0,0,59.903754634221,0,0,TRUE,TRUE,FALSE,-5.92845926596148,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_01029",6,0,0.666666666666667,59.903754634221,0,6.58835310937325,TRUE,TRUE,FALSE,-5.92845926596148,"Depleted in Serum","licR_2","putative licABCH operon regulator","COG1762"
"FGLBJAKE_01718",6,0,1.33333333333333,59.903754634221,0,13.1767062187465,TRUE,TRUE,FALSE,-5.92845926596148,"Depleted in Serum","guaB","Inosine-5'-monophosphate dehydrogenase","COG0516"
"FGLBJAKE_02254",5,0,8.66666666666667,49.9197955285175,0,85.6485904218522,TRUE,TRUE,FALSE,-5.6701547209101,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02573",5,0,0,49.9197955285175,0,0,TRUE,TRUE,FALSE,-5.6701547209101,"Depleted in Serum","ywlC","Threonylcarbamoyl-AMP synthase","COG0009"
"FGLBJAKE_02289",4.66666666666667,0,9.66666666666667,46.5918091599497,0,95.5311200859121,TRUE,TRUE,FALSE,-5.57264139318651,"Depleted in Serum","eat(A)","ABC-F type ribosomal protection protein Eat(A)",""
"FGLBJAKE_02407",4.33333333333333,0,0.333333333333333,43.2638227913818,0,3.29417655468662,TRUE,TRUE,FALSE,-5.46805614801473,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02827",4.33333333333333,0,0,43.2638227913818,0,0,TRUE,TRUE,FALSE,-5.46805614801473,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02565",4,0,25.6666666666667,39.935836422814,0,253.65159471087,TRUE,TRUE,FALSE,-5.35529246843525,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02881",4,0,0,39.935836422814,0,0,TRUE,TRUE,FALSE,-5.35529246843525,"Depleted in Serum","glyQ","Glycine--tRNA ligase alpha subunit","COG0752"
"FGLBJAKE_00759",3.66666666666667,0,0,36.6078500542462,0,0,TRUE,TRUE,FALSE,-5.2329619283931,"Depleted in Serum","zosA","Zinc-transporting ATPase","COG2217"
"FGLBJAKE_01376",3.66666666666667,0,0,36.6078500542462,0,0,TRUE,TRUE,FALSE,-5.2329619283931,"Depleted in Serum","vanX","D-alanyl-D-alanine dipeptidase",""
"FGLBJAKE_01749",3.66666666666667,0,0,36.6078500542462,0,0,TRUE,TRUE,FALSE,-5.2329619283931,"Depleted in Serum","zupT","Zinc transporter ZupT","COG0428"
"FGLBJAKE_02135",3,0,16.6666666666667,29.9518773171105,0,164.708827734331,TRUE,TRUE,FALSE,-4.95195501043185,"Depleted in Serum","asd","Aspartate-semialdehyde dehydrogenase","COG0136"
"FGLBJAKE_01150",2.66666666666667,0,0,26.6238909485427,0,0,TRUE,TRUE,FALSE,-4.78784463884279,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02607",2.66666666666667,0,0,26.6238909485427,0,0,TRUE,TRUE,FALSE,-4.78784463884279,"Depleted in Serum","rsmA","Ribosomal RNA small subunit methyltransferase A","COG0030"
"FGLBJAKE_02779",2.66666666666667,0,0,26.6238909485427,0,0,TRUE,TRUE,FALSE,-4.78784463884279,"Depleted in Serum","lipL","Octanoyl-[GcvH]:protein N-octanoyltransferase","COG0095"
"FGLBJAKE_01334",2.33333333333333,0,0,23.2959045799748,0,0,TRUE,TRUE,FALSE,-4.6026412424588,"Depleted in Serum","sorC","PTS system sorbose-specific EIIC component","COG3715"
