"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions","serum_depleted","bhi_depleted","log2FC_serum","category"
"FGLBJAKE_00455",0,25.6666666666667,89,0,312.356751976569,879.545140101329,TRUE,FALSE,TRUE,8.2916622693479,"Depleted in BHI"
"FGLBJAKE_00456",12.6666666666667,0,0.333333333333333,126.463482005578,0,3.29417655468662,TRUE,TRUE,FALSE,-6.99394016724548,"Depleted in Serum"
"FGLBJAKE_00459",7.33333333333333,6.66666666666667,8.66666666666667,73.2157001084923,81.131623890018,85.6485904218522,TRUE,FALSE,FALSE,0.146213406099117,"Present in both"
"FGLBJAKE_00462",0,12,6,0,146.036923002032,59.2951779843592,TRUE,FALSE,TRUE,7.20003467098005,"Depleted in BHI"
"FGLBJAKE_00463",0,50,51.6666666666667,0,608.487179175135,510.597365976427,TRUE,FALSE,TRUE,9.25145206322892,"Depleted in BHI"
"FGLBJAKE_00471",0,1.33333333333333,0,0,16.2263247780036,0,TRUE,FALSE,FALSE,4.10654303149835,"Present in both"
"FGLBJAKE_00472",0,0,30,0,0,296.475889921796,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00481",62.6666666666667,46.3333333333333,36.3333333333333,625.661437290753,563.864786035625,359.065244460842,TRUE,FALSE,FALSE,-0.149780651973349,"Present in both"
"FGLBJAKE_00483",0.333333333333333,7.66666666666667,0,3.32798636856783,93.3013674735207,0,TRUE,FALSE,FALSE,4.4455108313464,"Present in both"
"FGLBJAKE_00489",18,0,0,179.711263902663,0,0,TRUE,TRUE,FALSE,-7.49754262331565,"Depleted in Serum"
"FGLBJAKE_00492",1.33333333333333,0,2.33333333333333,13.3119454742713,0,23.0592358828064,TRUE,FALSE,FALSE,-3.83914789101278,"Present in both"
"FGLBJAKE_00496",28,1.66666666666667,14.3333333333333,279.550854959698,20.2829059725045,141.649591851525,TRUE,FALSE,FALSE,-3.72049525404126,"Present in both"
"FGLBJAKE_00507",0,14.6666666666667,0,0,178.48957255804,0,TRUE,FALSE,TRUE,7.48775622292736,"Depleted in BHI"
"FGLBJAKE_00530",9.33333333333333,0,0,93.1836183198994,0,0,TRUE,TRUE,FALSE,-6.55740424364395,"Depleted in Serum"
"FGLBJAKE_00531",193.666666666667,234,214.666666666667,1933.56008013791,2847.71999853963,2121.44970121819,TRUE,FALSE,FALSE,0.558308291601596,"Present in both"
"FGLBJAKE_00540",17,3.33333333333333,39.6666666666667,169.72730479696,40.565811945009,392.007010007708,TRUE,FALSE,FALSE,-2.03822451176079,"Present in both"
"FGLBJAKE_00543",19,77.6666666666667,175,189.695223008367,945.183418318709,1729.44269121048,TRUE,FALSE,FALSE,2.3108511741044,"Present in both"
"FGLBJAKE_00554",0.666666666666667,0,0,6.65597273713567,0,0,TRUE,FALSE,FALSE,-2.93658569240633,"Present in both"
"FGLBJAKE_00556",27.6666666666667,4.66666666666667,71,276.22286859113,56.7921367230126,701.659606148251,TRUE,FALSE,FALSE,-2.26210115664334,"Present in both"
"FGLBJAKE_00557",778.666666666667,549,1878.66666666667,7774.17615697446,6681.18922734298,18565.9790622138,TRUE,FALSE,FALSE,-0.218554524062891,"Present in both"
"FGLBJAKE_00558",27.6666666666667,12.6666666666667,35,276.22286859113,154.150085391034,345.888538242096,TRUE,FALSE,FALSE,-0.837381781885822,"Present in both"
"FGLBJAKE_00560",0,9.66666666666667,0,0,117.640854640526,0,TRUE,FALSE,TRUE,6.8904570853064,"Depleted in BHI"
"FGLBJAKE_00563",0,0,19.3333333333333,0,0,191.062240171824,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00564",0,53,0,0,644.996409925643,0,TRUE,FALSE,TRUE,9.33538233705172,"Depleted in BHI"
"FGLBJAKE_00565",0,1.33333333333333,1,0,16.2263247780036,9.88252966405988,TRUE,FALSE,FALSE,4.10654303149835,"Present in both"
"FGLBJAKE_00566",0.666666666666667,18.3333333333333,1,6.65597273713567,223.111965697549,9.88252966405988,TRUE,FALSE,FALSE,4.87149017607686,"Present in both"
"FGLBJAKE_00567",26.6666666666667,0,0,266.238909485427,0,0,TRUE,TRUE,FALSE,-8.06198626657969,"Depleted in Serum"
"FGLBJAKE_00571",173.666666666667,22.3333333333333,170.666666666667,1733.88089802384,271.79094003156,1686.61839599955,TRUE,FALSE,FALSE,-2.66896898789699,"Present in both"
"FGLBJAKE_00573",0,2.33333333333333,0,0,28.3960683615063,0,TRUE,FALSE,TRUE,4.8775513065933,"Depleted in BHI"
"FGLBJAKE_00577",0,1,0,0,12.1697435835027,0,TRUE,FALSE,FALSE,3.71915535130864,"Present in both"
"FGLBJAKE_00578",151,137.333333333333,205,1507.57782496123,1671.31145213437,2025.91858113227,TRUE,FALSE,FALSE,0.148654436114495,"Present in both"
"FGLBJAKE_00582",0,0,27.6666666666667,0,0,273.41665403899,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00586",0,0,13.3333333333333,0,0,131.767062187465,TRUE,FALSE,FALSE,0,"Present in both"
"FGLBJAKE_00588",20.3333333333333,0,0,203.007168482638,0,0,TRUE,TRUE,FALSE,-7.67247603683743,"Depleted in Serum"
"FGLBJAKE_00593",15.6666666666667,8,19.6666666666667,156.415359322688,97.3579486680216,194.356416726511,TRUE,FALSE,FALSE,-0.67846276244711,"Present in both"
"FGLBJAKE_00596",0.666666666666667,2.33333333333333,0,6.65597273713567,28.3960683615063,0,TRUE,FALSE,FALSE,1.94096561418697,"Present in both"
"FGLBJAKE_00601",8,33,12.3333333333333,79.871672845628,401.601538255589,121.884532523405,TRUE,FALSE,FALSE,2.31564632521108,"Present in both"
"FGLBJAKE_00602",0.333333333333333,61,32.3333333333333,3.32798636856783,742.354358593664,319.535125804603,TRUE,FALSE,FALSE,7.4242103450306,"Present in both"
"FGLBJAKE_00603",0,13.6666666666667,0,0,166.319828974537,0,TRUE,FALSE,TRUE,7.38646461822364,"Depleted in BHI"
"FGLBJAKE_00605",12.6666666666667,28.3333333333333,40.6666666666667,126.463482005578,344.809401532576,401.889539671768,TRUE,FALSE,FALSE,1.43989311464433,"Present in both"
"FGLBJAKE_00611",183.333333333333,205.333333333333,326,1830.39250271231,2498.85401581255,3221.70467048352,TRUE,FALSE,FALSE,0.448902826534496,"Present in both"
