"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009126","GO:0009126","14/146","44/986",0.318181818181818,2.14881693648817,3.24867761926331,0.00273870501994475,0.0347732546471773,0.0310998082009675,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717",14
"GO:0009167","GO:0009167","14/146","44/986",0.318181818181818,2.14881693648817,3.24867761926331,0.00273870501994475,0.0347732546471773,0.0310998082009675,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717",14
"GO:0016879","GO:0016879","11/146","31/986",0.354838709677419,2.39637649138312,3.29182386841261,0.00304449106120315,0.0380788583475857,0.0340562079430738,"FGLBJAKE_00854/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00715/FGLBJAKE_00718/FGLBJAKE_01377/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00863",11
"GO:0004642","GO:0004642","3/146","3/986",1,6.75342465753425,4.15877283808985,0.00318988558652383,0.0393106488456907,0.0351578720991481,"FGLBJAKE_00716/FGLBJAKE_00718/FGLBJAKE_00717",3
"GO:0009152","GO:0009152","16/146","56/986",0.285714285714286,1.92954990215264,2.98455886393316,0.00469594982095649,0.0570319702892976,0.0510071132344931,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_01118",16
"GO:0006979","GO:0006979","5/146","9/986",0.555555555555556,3.75190258751903,3.45590606613888,0.00508842123699793,0.0609156713800609,0.0544805401615417,"FGLBJAKE_01466/FGLBJAKE_02166/FGLBJAKE_02125/FGLBJAKE_01880/FGLBJAKE_01978",5
"GO:0006164","GO:0006164","16/146","57/986",0.280701754385965,1.8956981494833,2.90299406478109,0.00569736708002868,0.0663110224036671,0.0593059263301231,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_01118",16
"GO:0009150","GO:0009150","16/146","57/986",0.280701754385965,1.8956981494833,2.90299406478109,0.00569736708002868,0.0663110224036671,0.0593059263301231,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_01118",16
"GO:0072522","GO:0072522","16/146","58/986",0.275862068965517,1.86301369863014,2.82301118015634,0.00686625185705275,0.0788208089891809,0.0704941791235985,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_01118",16
"GO:0090407","GO:0090407","25/146","106/986",0.235849056603774,1.59278883432411,2.69194703917812,0.00747450375348818,0.0846437046678796,0.0757019441320567,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_01118/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",25
"GO:0008652","GO:0008652","10/146","30/986",0.333333333333333,2.25114155251142,2.89996682246733,0.0078486134864595,0.0876951746887075,0.0784310568752163,"FGLBJAKE_02130/FGLBJAKE_02131/FGLBJAKE_02132/FGLBJAKE_02135/FGLBJAKE_02133/FGLBJAKE_02136/FGLBJAKE_02134/FGLBJAKE_02163/FGLBJAKE_00864/FGLBJAKE_00863",10
"GO:0043650","GO:0043650","5/146","10/986",0.5,3.37671232876712,3.14779622552303,0.00897359847036678,0.0976607210151606,0.0873438429378147,"FGLBJAKE_02132/FGLBJAKE_02135/FGLBJAKE_02133/FGLBJAKE_02136/FGLBJAKE_02134",5
"GO:0046112","GO:0046112","5/146","10/986",0.5,3.37671232876712,3.14779622552303,0.00897359847036678,0.0976607210151606,0.0873438429378147,"FGLBJAKE_00723/FGLBJAKE_00719/FGLBJAKE_00867/FGLBJAKE_00863/FGLBJAKE_00861",5
